number_of_clusters	number_of_active_clusters
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	12
14	9
15	10
16	11
17	12
18	13
19	14
21	14
22	15
23	14
24	15
25	16
26	17
27	18
28	19
29	19
30	18
31	19
32	18
33	18
34	19
35	20
36	21
37	22
38	22
39	23
40	23
41	23
42	24
43	25
44	26
45	27
46	27
47	28
48	29
49	30
50	31
51	32
52	32
53	31
54	31
55	32
56	33
57	33
58	34
59	34
60	35
61	36
62	37
63	38
64	39
65	40
66	40
67	41
68	42
69	42
70	43
71	44
72	44
73	45
74	46
75	46
76	47
77	47
78	44
79	45
80	46
81	47
82	48
83	49
84	50
85	50
87	50
88	50
89	51
90	52
91	52
92	53
93	51
94	52
95	52
96	52
97	53
98	53
99	56
100	49
101	47
102	45
103	44
104	46
105	47
106	47
108	46
109	46
110	46
112	46
113	47
114	47
115	48
116	48
117	49
118	49
119	49
120	49
121	48
122	47
123	48
124	47
125	48
126	48
128	46
129	47
130	48
131	47
132	47
134	47
135	43
136	44
137	42
138	42
139	42
140	42
141	43
142	44
143	42
144	46
145	46
146	46
147	47
148	47
149	47
150	48
151	49
152	49
153	49
154	50
155	51
156	52
157	53
158	54
159	55
160	55
161	56
162	56
163	55
164	55
165	56
166	57
167	54
168	54
169	52
171	51
172	52
173	53
174	54
175	52
176	50
177	50
178	51
179	52
180	51
181	50
182	50
183	51
184	52
186	50
187	51
188	50
189	51
190	50
191	50
192	52
193	52
194	53
195	50
196	51
197	50
198	50
199	45
200	41
202	42
203	41
204	39
205	39
206	40
207	41
208	41
209	41
210	41
211	42
212	42
213	43
214	43
216	44
217	44
218	44
219	44
221	43
222	43
223	42
224	40
225	40
226	39
227	38
228	37
229	38
230	38
231	38
232	38
233	37
234	37
235	37
236	36
237	36
238	36
239	36
240	36
241	35
242	36
243	35
244	36
245	37
246	38
247	35
248	35
249	35
250	32
251	31
252	32
253	33
254	34
255	35
256	35
257	35
258	36
259	37
