M1	M2	distance	distance_zscore
5	2	1176.697876	0.715001
8	2	1133.559937	0.375385
8	5	1155.464600	0.547836
9	2	1267.380981	1.428931
9	5	1227.719727	1.116686
9	8	896.750549	-1.488967
13	2	1147.534302	0.485402
13	5	1177.951294	0.724869
13	8	1046.862183	-0.307169
13	9	1254.561768	1.328008
14	2	1136.271606	0.396733
14	5	1180.845825	0.747657
14	8	1112.036255	0.205933
14	9	1217.614868	1.037132
14	13	763.519836	-2.537865
15	2	1103.588013	0.139422
15	5	1205.530518	0.941995
15	8	997.902161	-0.692621
15	9	1037.404541	-0.381627
15	13	1070.628662	-0.120060
15	14	967.802551	-0.929589
21	2	1119.107422	0.261603
21	5	1175.735352	0.707423
21	8	1028.079834	-0.455038
21	9	1264.557007	1.406698
21	13	1081.053223	-0.037990
21	14	1134.699585	0.384357
21	15	1064.513550	-0.168203
23	2	1096.833008	0.086241
23	5	1135.613037	0.391549
23	8	980.175781	-0.832177
23	9	1224.330078	1.090000
23	13	1028.635376	-0.450665
23	14	1111.322388	0.200313
23	15	1008.012573	-0.613024
23	21	937.743164	-1.166240
24	2	1097.419800	0.090861
24	5	1146.050537	0.473721
24	8	933.214844	-1.201891
24	9	1229.781006	1.132914
24	13	1046.113281	-0.313065
24	14	1073.620728	-0.096504
24	15	1009.101929	-0.604448
24	21	924.152222	-1.273239
24	23	840.669922	-1.930478
26	2	853.178467	-1.832001
26	5	1141.927002	0.441257
26	8	1059.871460	-0.204749
26	9	1223.271362	1.081665
26	13	1071.309448	-0.114700
26	14	1127.389893	0.326809
26	15	1090.026733	0.032657
26	21	995.064880	-0.714958
26	23	1005.367920	-0.633845
26	24	989.370483	-0.759789
27	2	1136.602905	0.399342
27	5	1155.524902	0.548311
27	8	1127.574951	0.328266
27	9	1223.461304	1.083160
27	13	1129.858887	0.346247
27	14	1151.272217	0.514830
27	15	1154.857666	0.543058
27	21	1157.634888	0.564922
27	23	1122.830444	0.290914
27	24	1131.226562	0.357015
27	26	1102.457397	0.130521
28	2	1222.053467	1.072076
28	5	1235.831665	1.180549
28	8	1091.928467	0.047629
28	9	888.391602	-1.554775
28	13	1189.427490	0.815219
28	14	1233.519653	1.162347
28	15	977.611816	-0.852363
28	21	1129.583984	0.344083
28	23	1129.271973	0.341627
28	24	1124.685425	0.305518
28	26	1189.427490	0.815219
28	27	1239.142944	1.206618
29	2	1134.948730	0.386319
29	5	1203.044067	0.922419
29	8	1188.039917	0.804295
29	9	1239.725586	1.211205
29	13	1228.658691	1.124078
29	14	1198.136841	0.883786
29	15	1206.033569	0.945955
29	21	1260.126099	1.371814
29	23	1229.905762	1.133896
29	24	1206.710327	0.951283
29	26	1183.886353	0.771595
29	27	1115.633789	0.234256
29	28	1173.202881	0.687486
31	2	1165.471313	0.626617
31	5	1140.309570	0.428523
31	8	1027.619751	-0.458660
31	9	1264.470947	1.406021
31	13	1083.434570	-0.019242
31	14	1153.256104	0.530449
31	15	1074.694946	-0.088047
31	21	908.172485	-1.399044
31	23	1003.704163	-0.646943
31	24	998.575989	-0.687316
31	26	1062.120605	-0.187042
31	27	1015.902161	-0.550911
31	28	1111.928833	0.205088
31	29	1175.332031	0.704248
33	2	977.172546	-0.855821
33	5	1084.520630	-0.010692
33	8	784.537781	-2.372395
33	9	1170.128540	0.663282
33	13	918.061035	-1.321194
33	14	1012.576172	-0.577096
33	15	860.506592	-1.774308
33	21	728.505432	-2.813526
33	23	698.800232	-3.047389
33	24	704.399658	-3.003306
33	26	827.812073	-2.031705
33	27	1044.680176	-0.324347
33	28	970.240234	-0.910398
33	29	1150.136963	0.505892
33	31	851.196777	-1.847602
