M1	M2	max_distance	max_distance_zscore
0	11	940.631958	1.267992
1	11	961.103943	1.384828
2	11	899.026672	1.030545
3	11	908.163757	1.082692
4	11	862.895020	0.824337
5	12	919.393738	1.146782
6	12	940.770325	1.268781
7	11	841.947632	0.704788
8	11	845.228271	0.723511
9	12	834.891907	0.664520
10	0	931.937500	1.218371
11	23	981.794250	1.502910
12	23	971.095520	1.441851
13	10	917.686279	1.137038
14	11	919.310181	1.146306
15	11	932.995605	1.224410
16	11	932.906982	1.223904
17	11	884.451477	0.947363
18	11	844.386780	0.718709
19	11	897.454590	1.021573
20	11	889.331177	0.975212
21	11	813.043152	0.539827
22	0	851.996216	0.762137
23	11	981.794250	1.502910
24	12	957.424255	1.363827
25	12	940.013184	1.264460
26	11	909.955994	1.092920
