profile	Shannon_Information	KL_divergence
0	1.745669	1.420801
1	1.749651	1.432241
2	1.523889	1.238592
3	1.424311	1.170959
4	1.444890	1.214513
5	1.455897	1.184570
6	1.643539	1.366693
7	1.326040	1.101900
8	1.144220	0.899502
11	1.658393	1.533174
12	1.760189	1.667543
13	1.580589	1.441631
14	1.451836	1.274777
15	1.758492	1.519760
16	1.895047	1.572063
17	1.615069	1.308018
18	1.290188	1.020775
19	1.270686	1.021286
20	1.127812	0.943759
21	1.078405	0.913715
22	1.142038	1.066882
23	1.332436	1.194531
24	1.248011	1.109490
25	1.289855	1.139736
26	1.548884	1.400619
27	1.509788	1.298381
