M1	M2	min_distance	min_distance_zscore
3	4	544.262634	-1.176694
4	21	520.640442	-1.346604
5	6	306.974487	-2.883461
6	5	306.974487	-2.883461
7	6	503.180847	-1.472187
8	27	233.986389	-3.408450
14	31	250.419769	-3.290247
15	14	299.367279	-2.938178
16	17	327.055969	-2.739018
17	33	302.226410	-2.917613
21	22	400.480713	-2.210889
22	21	400.480713	-2.210889
23	22	406.143738	-2.170156
24	25	457.436646	-1.801216
25	26	256.264465	-3.248208
26	25	256.264465	-3.248208
27	8	233.986389	-3.408450
31	14	250.419769	-3.290247
32	8	762.833984	0.395447
33	17	302.226410	-2.917613
