M1	M2	distance	distance_zscore
4	3	544.262634	-1.202112
5	3	769.933716	0.485016
5	4	637.734009	-0.503315
6	3	807.083374	0.762749
6	4	748.185547	0.322426
6	5	306.974487	-2.976089
7	3	685.969849	-0.142702
7	4	674.692017	-0.227016
7	5	737.001709	0.238815
7	6	503.180847	-1.509241
15	3	754.944031	0.372952
15	4	733.206055	0.210438
15	5	807.250854	0.764001
15	6	842.737061	1.029297
15	7	786.562073	0.609330
16	3	754.033813	0.366147
16	4	748.512207	0.324868
16	5	836.522949	0.982840
16	6	868.737915	1.223681
16	7	783.499146	0.586432
16	15	826.133606	0.905169
17	3	645.403992	-0.445974
17	4	650.528015	-0.407667
17	5	678.666321	-0.197304
17	6	818.060120	0.844811
17	7	691.398682	-0.102116
17	15	755.408142	0.376422
17	16	327.055969	-2.825959
21	3	568.117004	-1.023775
21	4	520.640442	-1.378713
21	5	666.757080	-0.286338
21	6	761.247498	0.420077
21	7	573.374817	-0.984468
21	15	665.880188	-0.292893
21	16	685.765747	-0.144228
21	17	558.847778	-1.093073
22	3	629.423828	-0.565443
22	4	580.046326	-0.934591
22	5	733.308594	0.211205
22	6	828.556091	0.923280
22	7	664.557373	-0.302783
22	15	739.232849	0.255495
22	16	770.181396	0.486868
22	17	666.540466	-0.287957
22	21	400.480713	-2.277032
23	3	776.383667	0.533236
23	4	740.027588	0.261436
23	5	825.169373	0.897960
23	6	905.747498	1.500366
23	7	783.715698	0.588051
23	15	850.596436	1.088054
23	16	821.186707	0.868186
23	17	754.409485	0.368956
23	21	614.615112	-0.676153
23	22	406.143738	-2.234695
24	3	785.035156	0.597915
24	4	722.141724	0.127721
24	5	833.358032	0.959179
24	6	904.536316	1.491311
24	7	782.426270	0.578411
24	15	858.011597	1.143490
24	16	850.007080	1.083648
24	17	753.529297	0.362376
24	21	640.357361	-0.483703
24	22	573.726868	-0.981836
24	23	471.420502	-1.746683
32	3	812.859131	0.805928
32	4	770.797607	0.491474
32	5	829.690247	0.931759
32	6	859.904358	1.157641
32	7	824.366638	0.891959
32	15	861.851013	1.172194
32	16	898.465942	1.445929
32	17	856.461975	1.131905
32	21	795.832214	0.678634
32	22	860.618652	1.162981
32	23	895.800781	1.426004
32	24	901.724609	1.470291
33	3	602.977478	-0.763157
33	4	599.187927	-0.791488
33	5	642.725525	-0.465999
33	6	803.862549	0.738670
33	7	671.025024	-0.254430
33	15	715.043640	0.074655
33	16	424.825867	-2.095027
33	17	302.226410	-3.011586
33	21	500.712982	-1.527691
33	22	621.116455	-0.627549
33	23	704.863953	-0.001449
33	24	734.403259	0.219389
33	32	821.526611	0.870727
34	3	595.209900	-0.821228
34	4	597.169006	-0.806581
34	5	746.557495	0.310254
34	6	481.054749	-1.674657
34	7	514.949219	-1.421260
34	15	706.241577	0.008850
34	16	738.743896	0.251839
34	17	640.231140	-0.484647
34	21	458.859680	-1.840588
34	22	582.525391	-0.916058
34	23	725.572327	0.153368
34	24	736.705017	0.236597
34	32	753.918030	0.365282
34	33	578.248291	-0.948034
35	3	710.603394	0.041460
35	4	688.207520	-0.125973
35	5	777.692932	0.543024
35	6	813.572449	0.811261
35	7	727.662354	0.168993
35	15	302.628418	-3.008581
35	16	790.343201	0.637598
35	17	710.325806	0.039384
35	21	614.632019	-0.676027
35	22	694.135681	-0.081654
35	23	824.137085	0.890243
35	24	810.255920	0.786467
35	32	857.082825	1.136547
35	33	668.046753	-0.276696
35	34	663.409119	-0.311367
36	3	747.788757	0.319459
36	4	691.272644	-0.103058
36	5	815.725464	0.827357
36	6	857.593018	1.140361
36	7	795.196716	0.673883
36	15	822.150635	0.875392
36	16	817.254456	0.838788
36	17	772.624695	0.505134
36	21	569.175537	-1.015862
36	22	642.290222	-0.469253
36	23	585.642151	-0.892757
36	24	453.350739	-1.881774
36	32	895.415405	1.423123
36	33	729.462646	0.182452
36	34	706.237000	0.008816
36	35	775.905334	0.529660
