iteration	action	c	a	b	distance	shift	window_shift	SI_c	SI_a	SI_b	KL_c	KL_a	KL_b	SI_complete_c	SI_complete_a	SI_complete_b	KL_complete_c	KL_complete_a	KL_complete_b
0	J	27	9	10	20.054367	10	0	1.316399	1.317138	1.315855	1.141356	1.142109	1.140798	1.509788	1.510231	1.567038	1.298381	1.298832	1.439886
1	J	28	1	2	45.905632	10	3	1.726321	1.718980	1.734422	1.440940	1.433523	1.449117	1.754055	1.749651	1.523889	1.436691	1.432241	1.238592
1	J	29	19	20	50.290493	10	3	1.444843	1.441008	1.449888	1.246056	1.241454	1.251869	1.272987	1.270686	1.127812	1.024047	1.021286	0.943759
2	J	30	11	12	77.697861	10	7	1.852563	1.859326	1.847380	1.738553	1.745489	1.733196	1.763299	1.658393	1.760189	1.670756	1.533174	1.667543
3	J	31	13	30	101.031525	-10	9	1.586833	1.582559	1.595025	1.507169	1.502485	1.515771	1.583153	1.580589	1.763299	1.444441	1.441631	1.670756
3	J	32	0	28	110.912239	10	0	1.902857	1.879573	1.930302	1.621193	1.597994	1.648555	1.759640	1.745669	1.754055	1.434720	1.420801	1.436691
4	J	33	18	29	178.820831	9	0	1.489994	1.460538	1.555500	1.165382	1.133408	1.233408	1.307861	1.290188	1.272987	1.039960	1.020775	1.024047
5	J	34	8	27	233.986389	5	0	1.039324	1.024664	1.169055	0.756730	0.740668	0.887862	1.153016	1.144220	1.509788	0.909139	0.899502	1.298381
5	J	35	14	31	250.419769	-10	9	1.259194	1.228931	1.377996	1.063070	1.036758	1.177920	1.469993	1.451836	1.583153	1.290564	1.274777	1.444441
5	J	36	25	26	256.264465	10	0	1.386388	1.370059	1.497869	1.309020	1.295802	1.417390	1.299652	1.289855	1.548884	1.147667	1.139736	1.400619
6	J	37	17	33	302.226410	10	3	1.244570	1.392755	1.257410	0.898620	1.040863	0.917401	1.526158	1.615069	1.307861	1.222671	1.308018	1.039960
6	J	38	15	35	302.628418	-9	0	1.260959	1.389457	1.259194	1.063180	1.190023	1.063070	1.471052	1.758492	1.469993	1.290630	1.519760	1.290564
6	J	39	5	6	306.974487	10	0	1.664427	1.672575	1.786606	1.388239	1.385667	1.521138	1.451009	1.455897	1.643539	1.186113	1.184570	1.366693
7	J	40	16	37	381.202515	10	9	1.392362	1.733148	1.281875	1.065214	1.403864	0.956862	1.592451	1.895047	1.526158	1.287683	1.572063	1.222671
8	J	41	21	22	400.480713	14	0	0.611330	0.708382	0.840459	0.476924	0.566006	0.714022	1.020174	1.078405	1.142038	0.860265	0.913715	1.066882
9	J	42	24	36	453.350739	10	9	1.192179	1.239715	1.352054	1.105090	1.147351	1.270240	1.203727	1.248011	1.299652	1.048576	1.109490	1.147667
9	J	43	34	41	461.232056	-12	7	0.550199	1.012268	0.598415	0.345877	0.751699	0.450341	0.875774	1.153016	1.020174	0.665647	0.909139	0.860265
10	J	44	4	43	483.504852	-5	0	0.547362	1.028042	0.597765	0.336955	0.829025	0.375969	0.845532	1.444890	0.875774	0.642238	1.214513	0.665647
11	J	45	3	44	502.256531	14	5	0.644023	1.167697	0.547362	0.424045	0.938147	0.336955	0.903529	1.424311	0.845532	0.694492	1.170959	0.642238
12	J	46	40	45	532.112549	6	5	0.720233	1.322827	0.644023	0.440525	0.983389	0.424045	1.230894	1.592451	0.903529	0.961964	1.287683	0.694492
13	J	47	7	46	560.900146	8	11	0.670673	1.216042	0.720233	0.416459	0.987321	0.440525	1.201159	1.326040	1.230894	0.947524	1.101900	0.961964
13	J	48	23	42	568.363953	19	0	1.100102	1.502072	1.022835	1.019886	1.421303	0.943171	1.091254	1.332436	1.203727	0.953680	1.194531	1.048576
14	J	49	47	48	513.054688	11	0	0.652485	0.670673	1.164248	0.415652	0.416459	0.944797	1.190245	1.201159	1.091254	0.947039	0.947524	0.953680
15	J	50	38	49	593.003723	-2	9	0.643267	1.260959	0.652485	0.425961	1.063180	0.415652	1.100437	1.471052	1.190245	0.908299	1.290630	0.947039
16	J	51	39	50	643.815125	-12	0	0.689039	1.301272	0.715662	0.486604	1.110940	0.501124	1.084463	1.451009	1.100437	0.899587	1.186113	0.908299
